userType,firstName,lastName,email,cellphone,password
ASSOCIATION_OFFICIAL,Charlie S,Thomas,charlies@awesometaxi.com,+27667680008,pass123
ASSOCIATION_OFFICIAL,Pierre,Dickson,pdic@awesometaxi.com,+27667680048,pass123
MARSHAL,Mary,van der Walt,maryden@awesometaxi.com,+27667680007,pass123
OWNER,Samuel,Blackstone,sammyb@awesometaxi.com,+27667680006,pass123
DRIVER,Daniel,Nkosi,danieln@awesometaxi.com,+27667680005,pass123
DRIVER,Zoe,Ginger,zoe_ginger@awesometaxi.com,+27667680011,pass123
AMBASSADOR,Piet,Booi,pbooi@awesometaxi.com,+27667680004,pass123
AMBASSADOR,Tommy,Moleo,tommol@awesometaxi.com,+27667680014,pass123
ROUTE_BUILDER,Perry,Maluleke,perrymal@awesometaxi.com,+27667680003,pass123
ROUTE_BUILDER,Don,Bester,donbb@awesometaxi.com,+27667680013,pass123
MARSHAL,Poppy,van der Walt,poppyvd@awesometaxi.com,+27667680009,pass123
MARSHAL,Nancy,Nkuna,nankuna@awesometaxi.com,+27667680017,pass123
AMBASSADOR,Johnny,Booi,johnnybooi@awesometaxi.com,+27667680034,pass123
OWNER,Freddy,Smith,fredsmith@awesometaxi.com,+27667680036,pass123
ROUTE_BUILDER,Maria,Bester,mariabest@awesometaxi.com,+27667680033,pass123
MARSHAL,Robby,Maringa,robeom@awesometaxi.com,+27667680077,pass123
MARSHAL,Andrew,Smith,smithandr@awesometaxi.com,+27667680037,pass123
AMBASSADOR,Zelda,Smith,zeldasmith@awesometaxi.com,+27667680054,pass123
