ownerName,cellphone,vehicleReg,model,maMe,year,passengerCapacity
Samantha Blackstone,+27567750001,MBT 50 GP,Quantum,Toyota,2021,16
Samantha Blackstone,+27567750001,MTT 91 GP,Quantum,Toyota,2022,16
Samantha Blackstone,+27567750001,RRC 59 GP,Quantum,Toyota,2022,16
Samantha Blackstone,+27567750001,MRM 78 GP,Quantum,Toyota,2025,16
Ronald Johnson,+27772990112,PTM 36 GP,Quantum,Toyota,2020,16
Robbie Jensen-Peters,+27772990115,GTK 88 GP,Quantum,Toyota,2018,16
Joseph Ferreira,+27772990114,GMT 97 GP,Quantum,Toyota,2014,16
Samuel D Smythe,+27772990115,KYT 65 GP,Quantum,Toyota,2019,16
Jerry Peters,+27772990116,FTV 47 GP,Quantum,Toyota,2019,16
Maria-Ramos Johns,+27772990117,KTX 98 GP,Quantum,Toyota,2017,16
ASSOCIATION ASSOCIATION,+27772990000,DCC 91 GP,Quantum,Toyota,2021,16
ASSOCIATION ASSOCIATION,+27772990000,DCC 92 GP,Quantum,Toyota,2021,16
ASSOCIATION ASSOCIATION,+27772990000,DCC 93 GP,Quantum,Toyota,2021,16
ASSOCIATION ASSOCIATION,+27772990000,DCC 94 GP,Quantum,Toyota,2021,16
ASSOCIATION ASSOCIATION,+27772990000,DCC 95 GP,Quantum,Toyota,2021,16
ASSOCIATION ASSOCIATION,+27772990000,GFX 71 GP,Quantum,Toyota,2021,16
ASSOCIATION ASSOCIATION,+27772770000,GFX 72 GP,Quantum,Toyota,2021,16
ASSOCIATION ASSOCIATION,+27772770000,GFX 73 GP,Quantum,Toyota,2021,16
ASSOCIATION ASSOCIATION,+27772770000,GFX 74 GP,Quantum,Toyota,2021,16
ASSOCIATION ASSOCIATION,+27772770000,GFX 75 GP,Quantum,Toyota,2021,16
